date,transaction,debit,credit,balance
"July 29, 2015",Payment for Invoice no. 165 - Google,0.00,"1,000.00","10,849.16"
"July 31, 2015",Invoice no. 168 - Ceridian,"1,400.00",0.00,"12,249.16"
"Aug. 6, 2015",Payment for Invoice no. 168 - Ceridian,0.00,"1,400.00","10,849.16"
"Aug. 17, 2015",Invoice no. 169 - Kiwi Wearable Technologies Ltd. ,339.00,0.00,"11,188.16"
"Aug. 18, 2015",Payment for Invoice no. 169 - Kiwi Wearable Technologies Ltd. ,0.00,339.00,"10,849.16"
"Aug. 21, 2015",Invoice no. 171 - Hatch,600.00,0.00,"11,449.16"
"Aug. 21, 2015",Payment for Invoice no. 171 - Hatch,0.00,600.00,"10,849.16"
"Aug. 22, 2015",Invoice no. 172 - Brainstation,300.00,0.00,"11,149.16"
"Aug. 23, 2015",Invoice no. 173 - Tilt - Grace to Pay,150.00,0.00,"11,299.16"
"Aug. 25, 2015",Invoice no. 177 - TeaBOT,80.00,0.00,"11,379.16"
"Aug. 25, 2015",Payment for Invoice no. 175 - XYZ Interactive,0.00,80.00,"11,299.16"
"Aug. 25, 2015",Invoice no. 178 - Aeryon Labs (James),80.00,0.00,"11,379.16"
"Aug. 25, 2015",Payment for Invoice no. 172 - Brainstation,0.00,300.00,"11,079.16"
"Aug. 25, 2015",Invoice no. 175 - XYZ Interactive,80.00,0.00,"11,159.16"
"Aug. 25, 2015",Invoice no. 176 - 3D-Bottech,80.00,0.00,"11,239.16"
"Aug. 25, 2015",Invoice no. 174 - Trace,80.00,0.00,"11,319.16"
"Aug. 27, 2015",Invoice no. 179 - PepsiCo,600.00,0.00,"11,919.16"
"Aug. 31, 2015",Invoice no. 180 - Dragados,"1,000.00",0.00,"12,919.16"
"Sept. 2, 2015",Invoice no. 181 - Nymi,150.00,0.00,"13,069.16"
"Sept. 2, 2015",Payment for Invoice no. 176 - 3D-Bottech,0.00,80.00,"12,989.16"
"Sept. 3, 2015",Payment for Invoice no. 174 - Trace,0.00,80.00,"12,909.16"
"Sept. 3, 2015",Payment for Invoice no. 181 - Nymi,0.00,150.00,"12,759.16"
"Sept. 4, 2015",Invoice no. 182 - Google,"1,000.00",0.00,"13,759.16"
"Sept. 7, 2015",Invoice no. 183 - 500px,150.00,0.00,"13,909.16"
"Sept. 11, 2015",Invoice no. 184 - DMZ,150.00,0.00,"14,059.16"
"Sept. 15, 2015",Payment for Invoice no. 183 - 500px,0.00,150.00,"13,909.16"
"Sept. 15, 2015",Payment for Invoice no. 184 - DMZ,0.00,150.00,"13,759.16"
"Sept. 15, 2015",Invoice no. 185 - Procter & Gamble,700.00,0.00,"14,459.16"
"Sept. 15, 2015",Invoice no. 186 - SkyPrep,250.00,0.00,"14,709.16"
"Sept. 16, 2015",Payment for Invoice no. 186 - SkyPrep,0.00,250.00,"14,459.16"
"Sept. 17, 2015",Invoice no. 170 - Lighthouse Labs,250.00,0.00,"14,709.16"
"Sept. 18, 2015",Payment for Invoice no. 187 - Addictive Mobility,0.00,250.00,"14,459.16"
"Sept. 18, 2015",Invoice no. 187 - Addictive Mobility,250.00,0.00,"14,709.16"
"Sept. 20, 2015",Invoice no. 190 - Procter & Gamble,300.00,0.00,"15,009.16"
"Sept. 21, 2015",Invoice no. 191 - CampBrain,750.00,0.00,"15,759.16"
"Sept. 22, 2015",Invoice no. 192 - BlueDot,250.00,0.00,"16,009.16"
"Sept. 23, 2015",Payment for Invoice no. 193 - PagerDuty,0.00,150.00,"15,859.16"
"Sept. 23, 2015",Invoice no. 195 - QuickTapSurvey,250.00,0.00,"16,109.16"
"Sept. 23, 2015",Invoice no. 196 - Accenture Inc. ,"1,000.00",0.00,"17,109.16"
"Sept. 23, 2015",Invoice no. 193 - PagerDuty,150.00,0.00,"17,259.16"
"Sept. 23, 2015",Invoice no. 194 - Big Viking Games,750.00,0.00,"18,009.16"
"Sept. 24, 2015",Payment for Invoice no. 192 - BlueDot,0.00,250.00,"17,759.16"
"Sept. 24, 2015",Payment for Invoice no. 177 - TeaBOT,0.00,80.00,"17,679.16"
"Sept. 25, 2015",Payment for Invoice no. 197 - Shell,0.00,300.00,"17,379.16"
"Sept. 25, 2015",Invoice no. 197 - Shell,300.00,0.00,"17,679.16"
"Sept. 26, 2015",Invoice no. 198 - Green Brick Labs,250.00,0.00,"17,929.16"
"Sept. 27, 2015",Invoice no. 199 - Nanoleaf,250.00,0.00,"18,179.16"
"Sept. 28, 2015",Invoice no. 201 - nModal,250.00,0.00,"18,429.16"
"Sept. 28, 2015",Invoice no. 200 - Top Hat Monocle Inc.,750.00,0.00,"19,179.16"
"Sept. 29, 2015",Payment for Invoice no. 195 - QuickTapSurvey,0.00,250.00,"18,929.16"
"Sept. 29, 2015",Invoice no. 202 - Interface Biologics Inc.,250.00,0.00,"19,179.16"
"Sept. 29, 2015",Invoice no. 207 - Grossman Dorland Recruiting,250.00,0.00,"19,429.16"
"Sept. 29, 2015",Invoice no. 205 - TunnelBear,250.00,0.00,"19,679.16"
"Sept. 29, 2015",Invoice no. 204 - d,300.00,0.00,"19,979.16"
"Sept. 29, 2015",Payment for Invoice no. 204 - d,0.00,300.00,"19,679.16"
"Sept. 29, 2015",Invoice no. 203 - Vox Pop Labs,150.00,0.00,"19,829.16"
"Sept. 29, 2015",Invoice no. 206 - Vantage Analytics,150.00,0.00,"19,979.16"
"Sept. 29, 2015",Payment for Invoice no. 202 - Interface Biologics Inc.,0.00,250.00,"19,729.16"
"Sept. 29, 2015",Invoice no. 208 - Parliament Building Supplies,250.00,0.00,"19,979.16"
"Sept. 29, 2015",Payment for Invoice no. 182 - Google,0.00,"1,000.00","18,979.16"
"Sept. 30, 2015",Invoice no. 230 - IBM,"5,000.00",0.00,"23,979.16"
"Oct. 1, 2015",Invoice no. 232 - Edusight,700.00,0.00,"24,679.16"
"Oct. 4, 2015",Invoice no. 209 - Altera,700.00,0.00,"25,379.16"
"Oct. 5, 2015",Payment for Invoice no. 207 - Grossman Dorland Recruiting,0.00,250.00,"25,129.16"
"Oct. 5, 2015",Invoice no. 211 - Hatch,300.00,0.00,"25,429.16"
"Oct. 5, 2015",Invoice no. 210 - Toronto Transit Commission,800.00,0.00,"26,229.16"
"Oct. 8, 2015",Payment for Invoice no. 209 - Altera,0.00,700.00,"25,529.16"
"Oct. 8, 2015",Invoice no. 212 - Pishon Labs,250.00,0.00,"25,779.16"
"Oct. 9, 2015",Payment for Invoice no. 211 - Hatch,0.00,300.00,"25,479.16"
"Oct. 9, 2015",Invoice no. 213 - PricewaterhouseCoopers LLP,"1,000.00",0.00,"26,479.16"
"Oct. 13, 2015",Payment for Invoice no. 196 - Accenture Inc. ,0.00,"1,000.00","25,479.16"
"Oct. 14, 2015",Payment for Invoice no. 214 - Uken Games,0.00,300.00,"25,179.16"
"Oct. 14, 2015",Invoice no. 214 - Uken Games,300.00,0.00,"25,479.16"
"Oct. 15, 2015",Payment for Invoice no. 215 - IMMUNIO,0.00,250.00,"25,229.16"
"Oct. 15, 2015",Invoice no. 215 - IMMUNIO,250.00,0.00,"25,479.16"
"Oct. 19, 2015",Invoice no. 216 - Pomerleau,800.00,0.00,"26,279.16"
"Oct. 19, 2015",Payment for Invoice no. 190 - Procter & Gamble,0.00,300.00,"25,979.16"
"Oct. 19, 2015",Payment for Invoice no. 185 - Procter & Gamble,0.00,700.00,"25,279.16"
"Oct. 19, 2015",Invoice no. 217 - Index Exchange,900.00,0.00,"26,179.16"
"Oct. 20, 2015",Invoice no. 218 - D+H,"1,000.00",0.00,"27,179.16"
"Oct. 21, 2015",Payment for Invoice no. 206 - Vantage Analytics,0.00,150.00,"27,029.16"
"Oct. 22, 2015",Invoice no. 220 - Penta Medical,300.00,0.00,"27,329.16"
"Oct. 22, 2015",Invoice no. 219 - Grandstand,300.00,0.00,"27,629.16"
"Oct. 27, 2015",Payment for Invoice no. 179 - PepsiCo,0.00,600.00,"27,029.16"
"Oct. 27, 2015",Invoice no. 221 - Grabb,300.00,0.00,"27,329.16"
"Oct. 28, 2015",Invoice no. 222 - A Thinking Ape,300.00,0.00,"27,629.16"
"Oct. 30, 2015",Invoice no. 223 - Magniware,300.00,0.00,"27,929.16"
"Oct. 30, 2015",Payment for Invoice no. 222 - A Thinking Ape,0.00,300.00,"27,629.16"
"Nov. 3, 2015",Payment for Invoice no. 178 - Aeryon Labs (James),0.00,80.00,"27,549.16"
"Nov. 3, 2015",Invoice no. 225 - Parsel.me,300.00,0.00,"27,849.16"
"Nov. 3, 2015",Invoice no. 224 - Vena Solutions,300.00,0.00,"28,149.16"
"Nov. 3, 2015",Payment for Invoice no. 200 - Top Hat Monocle Inc.,0.00,750.00,"27,399.16"
"Nov. 3, 2015",Payment for Invoice no. 180 - Dragados,0.00,"1,000.00","26,399.16"
"Nov. 3, 2015",Payment for Invoice no. 170 - Lighthouse Labs,0.00,250.00,"26,149.16"
"Nov. 5, 2015",Payment for Invoice no. 191 - CampBrain,0.00,750.00,"25,399.16"
"Nov. 7, 2015",Payment for Invoice no. 223 - Magniware,0.00,300.00,"25,099.16"
"Nov. 9, 2015",Invoice no. 228 - DoorDash,900.00,0.00,"25,999.16"
"Nov. 9, 2015",Invoice no. 226 - Hewlett Packard Enterprise,"5,000.00",0.00,"30,999.16"
"Nov. 9, 2015",Invoice no. 227 - Textbooks For Change,300.00,0.00,"31,299.16"
"Nov. 13, 2015",Invoice no. 229 - Jeeko,300.00,0.00,"31,599.16"
"Nov. 17, 2015",Invoice no. 231 - Mercatus Technologies,300.00,0.00,"31,899.16"
"Nov. 18, 2015",Payment for Invoice no. 219 - Grandstand,0.00,300.00,"31,599.16"
"Nov. 26, 2015",Payment for Invoice no. 232 - Edusight,0.00,700.00,"30,899.16"
"Nov. 27, 2015",Payment for Invoice no. 231 - Mercatus Technologies,0.00,300.00,"30,599.16"
"Nov. 30, 2015",Invoice no. 233 - Zipcar,450.00,0.00,"31,049.16"
"Dec. 1, 2015",Invoice no. 234 - Applanix,800.00,0.00,"31,849.16"
"Dec. 2, 2015",Invoice no. 235 - Deep Genomics,300.00,0.00,"32,149.16"
"Dec. 2, 2015",Invoice no. 236 - SurfEasy,900.00,0.00,"33,049.16"
"Dec. 3, 2015",Invoice no. 237 - Tulip Retail,300.00,0.00,"33,349.16"
"Dec. 3, 2015",Invoice no. 239 - TribalScale,300.00,0.00,"33,649.16"
"Dec. 3, 2015",Invoice no. 238 - McKinsey & Company,300.00,0.00,"33,949.16"
"Dec. 4, 2015",Invoice no. 240 - Method,300.00,0.00,"34,249.16"
"Dec. 5, 2015",Invoice no. 241 - SAP Canada,800.00,0.00,"35,049.16"
"Dec. 7, 2015",Invoice no. 242 - Limelight Platform,300.00,0.00,"35,349.16"
"Dec. 8, 2015",Invoice no. 243 - Toronto Hydro,800.00,0.00,"36,149.16"
"Dec. 8, 2015",Payment for Invoice no. 239 - TribalScale,0.00,300.00,"35,849.16"
"Dec. 9, 2015",Payment for Invoice no. 237 - Tulip Retail,0.00,300.00,"35,549.16"
"Dec. 9, 2015",Payment for Invoice no. 226 - Hewlett Packard Enterprise,0.00,"5,000.00","30,549.16"
"Dec. 11, 2015",Payment for Invoice no. 240 - Method,0.00,300.00,"30,249.16"
"Dec. 11, 2015",Invoice no. 244 - Lending Loop,300.00,0.00,"30,549.16"
"Dec. 14, 2015",Payment for Invoice no. 244 - Lending Loop,0.00,300.00,"30,249.16"
"Dec. 14, 2015",Invoice no. 245 - CPA Ontario,"1,000.00",0.00,"31,249.16"
"Dec. 15, 2015",Payment for Invoice no. 242 - Limelight Platform,0.00,300.00,"30,949.16"
"Dec. 15, 2015",Invoice no. 246 - Bionik Labs,300.00,0.00,"31,249.16"
"Dec. 17, 2015",Invoice no. 248 - NexJ Systems,900.00,0.00,"32,149.16"
"Dec. 17, 2015",Invoice no. 249 - Hewlett Packard Enterprise,"5,000.00",0.00,"37,149.16"
"Dec. 17, 2015",Invoice no. 247 - The Hatchery,250.00,0.00,"37,399.16"
"Dec. 18, 2015",Invoice no. 251 - HESS International Educational Group,200.00,0.00,"37,599.16"
"Dec. 18, 2015",Invoice no. 250 - TATA Consultancy Services,900.00,0.00,"38,499.16"
"Dec. 18, 2015",Payment for Invoice no. 248 - NexJ Systems,0.00,900.00,"37,599.16"
"Dec. 21, 2015",Payment for Invoice no. 251 - HESS International Educational Group,0.00,200.00,"37,399.16"
"Dec. 21, 2015",Invoice no. 252 - Free The Children,450.00,0.00,"37,849.16"
"Jan. 4, 2016",Invoice no. 255 - Cryptiv,300.00,0.00,"38,149.16"
"Jan. 4, 2016",Invoice no. 254 - Koffeedate Group Inc.,300.00,0.00,"38,449.16"
"Jan. 4, 2016",Invoice no. 256 - University of Toronto Institute for Management and Innovation,450.00,0.00,"38,899.16"
"Jan. 4, 2016",Payment for Invoice no. 238 - McKinsey & Company,0.00,300.00,"38,599.16"
"Jan. 5, 2016",Payment for Invoice no. 256 - University of Toronto Institute for Management and Innovation,0.00,450.00,"38,149.16"
"Jan. 6, 2016",Payment for Invoice no. 254 - Koffeedate Group Inc.,0.00,300.00,"37,849.16"
"Jan. 6, 2016",Payment for Invoice no. 249 - Hewlett Packard Enterprise,0.00,"5,000.00","32,849.16"
"Jan. 7, 2016",Payment for Invoice no. 236 - SurfEasy,0.00,900.00,"31,949.16"
"Jan. 8, 2016",Invoice no. 258 - PepsiCo Beverages Canada,500.00,0.00,"32,449.16"
"Jan. 8, 2016",Invoice no. 257 - Get Sweat Equity,300.00,0.00,"32,749.16"
"Jan. 10, 2016",Invoice no. 259 - Nvest,300.00,0.00,"33,049.16"
"Jan. 10, 2016",Invoice no. 260 - LocationGenius,300.00,0.00,"33,349.16"
"Jan. 11, 2016",Invoice no. 261 - Amity,300.00,0.00,"33,649.16"
"Jan. 11, 2016",Invoice no. 262 - Deep Foundations Contractors Inc.,"1,000.00",0.00,"34,649.16"
"Jan. 11, 2016",Payment for Invoice no. 201 - nModal,0.00,250.00,"34,399.16"
"Jan. 11, 2016",Payment for Invoice no. 258 - PepsiCo Beverages Canada,0.00,500.00,"33,899.16"
"Jan. 12, 2016",Invoice no. 266 - UXP Systems,300.00,0.00,"34,199.16"
"Jan. 12, 2016",Payment for Invoice no. 262 - Deep Foundations Contractors Inc.,0.00,"1,000.00","33,199.16"
"Jan. 12, 2016",Invoice no. 263 - Real Matters,300.00,0.00,"33,499.16"
"Jan. 12, 2016",Invoice no. 264 - OneClass,300.00,0.00,"33,799.16"
"Jan. 12, 2016",Invoice no. 265 - 360pi,300.00,0.00,"34,099.16"
"Jan. 13, 2016",Payment for Invoice no. 252 - Free The Children,0.00,450.00,"33,649.16"
"Jan. 13, 2016",Invoice no. 268 - Nudge Rewards,300.00,0.00,"33,949.16"
"Jan. 13, 2016",Invoice no. 267 - GroupBy Inc.,300.00,0.00,"34,249.16"
"Jan. 13, 2016",Payment for Invoice no. 267 - GroupBy Inc.,0.00,300.00,"33,949.16"
"Jan. 14, 2016",Payment for Invoice no. 270 - Pinch VR,0.00,300.00,"33,649.16"
"Jan. 14, 2016",Payment for Invoice no. 268 - Nudge Rewards,0.00,300.00,"33,349.16"
"Jan. 14, 2016",Payment for Invoice no. 199 - Nanoleaf,0.00,250.00,"33,099.16"
"Jan. 14, 2016",Invoice no. 269 - XYZ Interactive,250.00,0.00,"33,349.16"
"Jan. 14, 2016",Invoice no. 271 - Edsby,300.00,0.00,"33,649.16"
"Jan. 14, 2016",Invoice no. 272 - 500px,300.00,0.00,"33,949.16"
"Jan. 14, 2016",Payment for Invoice no. 203 - Vox Pop Labs,0.00,150.00,"33,799.16"
"Jan. 14, 2016",Invoice no. 270 - Pinch VR,300.00,0.00,"34,099.16"
"Jan. 15, 2016",Payment for Invoice no. 259 - Nvest,0.00,300.00,"33,799.16"
"Jan. 15, 2016",Invoice no. 275 - GuruLink Inc,300.00,0.00,"34,099.16"
"Jan. 15, 2016",Invoice no. 274 - Horizn,300.00,0.00,"34,399.16"
"Jan. 15, 2016",Invoice no. 276 - Sulon Technologies Inc.,300.00,0.00,"34,699.16"
"Jan. 15, 2016",Payment for Invoice no. 278 - Labatt Brewing Company Limited ,0.00,"1,000.00","33,699.16"
"Jan. 15, 2016",Payment for Invoice no. 272 - 500px,0.00,300.00,"33,399.16"
"Jan. 15, 2016",Invoice no. 273 - WatrHub,250.00,0.00,"33,649.16"
"Jan. 15, 2016",Payment for Invoice no. 276 - Sulon Technologies Inc.,0.00,300.00,"33,349.16"
"Jan. 15, 2016",Payment for Invoice no. 274 - Horizn,0.00,300.00,"33,049.16"
"Jan. 15, 2016",Invoice no. 277 - Crowdmatrix,300.00,0.00,"33,349.16"
"Jan. 15, 2016",Payment for Invoice no. 273 - WatrHub,0.00,250.00,"33,099.16"
"Jan. 15, 2016",Invoice no. 278 - Labatt Brewing Company Limited ,"1,000.00",0.00,"34,099.16"
"Jan. 16, 2016",Invoice no. 279 - Invent Mode,250.00,0.00,"34,349.16"
"Jan. 17, 2016",Payment for Invoice no. 269 - XYZ Interactive,0.00,250.00,"34,099.16"
"Jan. 18, 2016",Payment for Invoice no. 275 - GuruLink Inc,0.00,300.00,"33,799.16"
"Jan. 19, 2016",Invoice no. 280 - Ecobee,300.00,0.00,"34,099.16"
"Jan. 19, 2016",Payment for Invoice no. 279 - Invent Mode,0.00,250.00,"33,849.16"
"Jan. 19, 2016",Payment for Invoice no. 266 - UXP Systems,0.00,300.00,"33,549.16"
"Jan. 19, 2016",Invoice no. 281 - Lane,300.00,0.00,"33,849.16"
"Jan. 19, 2016",Payment for Invoice no. 265 - 360pi,0.00,300.00,"33,549.16"
"Jan. 19, 2016",Payment for Invoice no. 261 - Amity,0.00,300.00,"33,249.16"
"Jan. 19, 2016",Payment for Invoice no. 221 - Grabb,0.00,300.00,"32,949.16"
"Jan. 20, 2016",Invoice no. 284 - Lane,250.00,0.00,"33,199.16"
"Jan. 20, 2016",Payment for Invoice no. 277 - Crowdmatrix,0.00,300.00,"32,899.16"
"Jan. 20, 2016",Invoice no. 283 - Aeryon Labs (James),810.00,0.00,"33,709.16"
"Jan. 20, 2016",Payment for Invoice no. 280 - Ecobee,0.00,300.00,"33,409.16"
"Jan. 21, 2016",Payment for Invoice no. 284 - Lane,0.00,250.00,"33,159.16"
"Jan. 21, 2016",Payment for Invoice no. 208 - Parliament Building Supplies,0.00,250.00,"32,909.16"
"Jan. 22, 2016",Payment for Invoice no. 213 - PricewaterhouseCoopers LLP,0.00,"1,000.00","31,909.16"
"Jan. 22, 2016",Payment for Invoice no. 264 - OneClass,0.00,300.00,"31,609.16"
"Jan. 23, 2016",Invoice no. 287 - Self Care Catalysts Inc. ,300.00,0.00,"31,909.16"
"Jan. 23, 2016",Invoice no. 286 - Google,"1,900.00",0.00,"33,809.16"
"Jan. 24, 2016",Payment for Invoice no. 255 - Cryptiv,0.00,300.00,"33,509.16"
"Jan. 24, 2016",Invoice no. 288 - Maluuba,300.00,0.00,"33,809.16"
"Jan. 25, 2016",Invoice no. 289 - DMZ,"1,250.00",0.00,"35,059.16"
"Jan. 25, 2016",Payment for Invoice no. 287 - Self Care Catalysts Inc. ,0.00,300.00,"34,759.16"
"Jan. 25, 2016",Invoice no. 290 - Whoosh!,250.00,0.00,"35,009.16"
"Jan. 25, 2016",Payment for Invoice no. 286 - Google,0.00,"1,900.00","33,109.16"
"Jan. 26, 2016",Payment for Invoice no. 288 - Maluuba,0.00,300.00,"32,809.16"
"Jan. 26, 2016",Invoice no. 291 - Vuru.co,300.00,0.00,"33,109.16"
"Jan. 27, 2016",Payment for Invoice no. 285 - TripAdvisor,0.00,500.00,"32,609.16"
"Jan. 27, 2016",Payment for Invoice no. 271 - Edsby,0.00,300.00,"32,309.16"
"Feb. 2, 2016",Invoice no. 292 - Get Sweat Equity,150.00,0.00,"32,459.16"
"Feb. 3, 2016",Invoice no. 285 - TripAdvisor,500.00,0.00,"32,959.16"
"Feb. 3, 2016",Payment for Invoice no. 291 - Vuru.co,0.00,300.00,"32,659.16"
"March 1, 2016",Payment for Invoice no. 263 - Real Matters,0.00,300.00,"32,359.16"
"March 2, 2016",Payment for Invoice no. 173 - Tilt - Grace to Pay,0.00,150.00,"32,209.16"
"March 2, 2016",Payment for Invoice no. 289 - DMZ,0.00,"1,250.00","30,959.16"
"June 10, 2016",Invoice no. 293 - Microsoft,"1,100.00",0.00,"32,059.16"
"June 14, 2016",Payment for Invoice no. 293 - Microsoft,0.00,"1,100.00","30,959.16"
"June 21, 2016",Invoice no. 294 - Kubra,"1,100.00",0.00,"32,059.16"
"June 21, 2016",Invoice no. 295 - IBM,"1,100.00",0.00,"33,159.16"
"June 27, 2016",Payment for Invoice no. 294 - Kubra,0.00,"1,100.00","32,059.16"
"June 27, 2016",Invoice no. 296 - Rocscience Inc.,800.00,0.00,"32,859.16"
"June 27, 2016",Invoice no. 297 - NVIDIA,"1,500.00",0.00,"34,359.16"
"July 5, 2016",Payment for Invoice no. 296 - Rocscience Inc.,0.00,800.00,"33,559.16"
"July 6, 2016",Payment for Invoice no. 297 - NVIDIA,0.00,"1,500.00","32,059.16"
"July 7, 2016",Invoice no. 299 - Operis,"1,100.00",0.00,"33,159.16"
"July 12, 2016",Invoice no. 301 - PwC,"1,000.00",0.00,"34,159.16"
"July 12, 2016",Invoice no. 300 - X by 2,800.00,0.00,"34,959.16"
"July 13, 2016",Invoice no. 302 - 360incentives.com,750.00,0.00,"35,709.16"
"July 13, 2016",Payment for Invoice no. 301 - PwC,0.00,"1,000.00","34,709.16"
"July 14, 2016",Invoice no. 303 - Wattpad,400.00,0.00,"35,109.16"
"July 17, 2016",Invoice no. 304 - Bibliocommons,800.00,0.00,"35,909.16"
"July 19, 2016",Invoice no. 305 - University of Toronto Institute for Multidisciplinary Design and Innovation,800.00,0.00,"36,709.16"
"July 19, 2016",Payment for Invoice no. 299 - Operis,0.00,"1,100.00","35,609.16"
"July 20, 2016",Invoice no. 307 - Ceridian,"1,700.00",0.00,"37,309.16"
"July 20, 2016",Payment for Invoice no. 304 - Bibliocommons,0.00,800.00,"36,509.16"
"July 21, 2016",Invoice no. 308 - Hatch,750.00,0.00,"37,259.16"
"July 22, 2016",Invoice no. 309 - Kik Interactive Inc. ,750.00,0.00,"38,009.16"
"July 22, 2016",Payment for Invoice no. 307 - Ceridian,0.00,"1,700.00","36,309.16"
"July 25, 2016",Invoice no. 312 - Michael O'Dwyer,2.97,0.00,"36,312.13"
"July 25, 2016",Payment for Invoice no. 312 - Michael O'Dwyer,0.00,2.97,"36,309.16"
"Aug. 1, 2016",Invoice no. 315 - FM Global,800.00,0.00,"37,109.16"
"Aug. 1, 2016",Invoice no. 316 - Google,"2,100.00",0.00,"39,209.16"
"Aug. 1, 2016",Invoice no. 314 - Geotab Inc.,"1,000.00",0.00,"40,209.16"
"Aug. 1, 2016",Invoice no. 313 - Professional Engineers Ontario,450.00,0.00,"40,659.16"
"Aug. 2, 2016",Payment for Invoice no. 300 - X by 2,0.00,800.00,"39,859.16"
"Aug. 2, 2016",Payment for Invoice no. 316 - Google,0.00,"2,100.00","37,759.16"
"Aug. 4, 2016",Invoice no. 319 - TribalScale,400.00,0.00,"38,159.16"
"Aug. 4, 2016",Invoice no. 317 - TATA Consultancy Services,"1,500.00",0.00,"39,659.16"
"Aug. 4, 2016",Invoice no. 318 - Amazon,700.00,0.00,"40,359.16"
"Aug. 11, 2016",Invoice no. 320 - Flipp,"3,000.00",0.00,"43,359.16"
"Aug. 11, 2016",Payment for Invoice no. 321 - Trane,0.00,900.00,"42,459.16"
"Aug. 11, 2016",Invoice no. 321 - Trane,900.00,0.00,"43,359.16"
"Aug. 12, 2016",Payment for Invoice no. 308 - Hatch,0.00,750.00,"42,609.16"
"Aug. 15, 2016",Invoice no. 322 - Mosaic Manufacturing,150.00,0.00,"42,759.16"
"Aug. 15, 2016",Payment for Invoice no. 322 - Mosaic Manufacturing,0.00,150.00,"42,609.16"
"Aug. 15, 2016",Payment for Invoice no. 315 - FM Global,0.00,800.00,"41,809.16"
"Aug. 16, 2016",Payment for Invoice no. 314 - Geotab Inc.,0.00,"1,000.00","40,809.16"
"Aug. 16, 2016",Payment for Invoice no. 295 - IBM,0.00,"1,100.00","39,709.16"
"Aug. 16, 2016",Invoice no. 323 - Infusion,"1,500.00",0.00,"41,209.16"
"Aug. 17, 2016",Payment for Invoice no. 320 - Flipp,0.00,"3,000.00","38,209.16"
"Aug. 17, 2016",Invoice no. 326 - NVIDIA,500.00,0.00,"38,709.16"
"Aug. 17, 2016",Invoice no. 324 - Altera,"1,500.00",0.00,"40,209.16"
"Aug. 17, 2016",Payment for Invoice no. 323 - Infusion,0.00,"1,500.00","38,709.16"
"Aug. 17, 2016",Payment for Invoice no. 324 - Altera,0.00,"1,500.00","37,209.16"
"Aug. 17, 2016",Invoice no. 329 - Microsoft,750.00,0.00,"37,959.16"
"Aug. 18, 2016",Invoice no. 330 - MaRS Innovation,400.00,0.00,"38,359.16"
"Aug. 18, 2016",Invoice no. 325 - Accenture,"1,200.00",0.00,"39,559.16"
"Aug. 18, 2016",Payment for Invoice no. 318 - Amazon,0.00,700.00,"38,859.16"
"Aug. 18, 2016",Invoice no. 327 - Accenture,"1,200.00",0.00,"40,059.16"
"Aug. 19, 2016",Payment for Invoice no. 329 - Microsoft,0.00,750.00,"39,309.16"
"Aug. 19, 2016",Invoice no. 331 - Citi Canada,"1,100.00",0.00,"40,409.16"
"Aug. 23, 2016",Invoice no. 332 - CampBrain,750.00,0.00,"41,159.16"
"Aug. 23, 2016",Payment for Invoice no. 331 - Citi Canada,0.00,"1,100.00","40,059.16"
"Aug. 24, 2016",Payment for Invoice no. 332 - CampBrain,0.00,750.00,"39,309.16"
"Aug. 29, 2016",Invoice no. 333 - TATA Consultancy Services,100.00,0.00,"39,409.16"
"Aug. 29, 2016",Invoice no. 334 - RBC,"1,500.00",0.00,"40,909.16"
"Aug. 30, 2016",Invoice no. 335 - Loopio,750.00,0.00,"41,659.16"
"Aug. 31, 2016",Payment for Invoice no. 335 - Loopio,0.00,750.00,"40,909.16"
"Sept. 1, 2016",Invoice no. 337 - Nanoleaf,150.00,0.00,"41,059.16"
"Sept. 1, 2016",Invoice no. 336 - Continyou Care,250.00,0.00,"41,309.16"
"Sept. 2, 2016",Invoice no. 338 - Telus,"1,000.00",0.00,"42,309.16"
"Sept. 3, 2016",Invoice no. 339 - Lighthouse Labs,150.00,0.00,"42,459.16"
"Sept. 6, 2016",Invoice no. 340 - Google,400.00,0.00,"42,859.16"
"Sept. 8, 2016",Invoice no. 341 - CPA Ontario,100.00,0.00,"42,959.16"
"Sept. 9, 2016",Invoice no. 343 - iamsick,150.00,0.00,"43,109.16"
"Sept. 9, 2016",Invoice no. 342 - Southpaw,800.00,0.00,"43,909.16"
"Sept. 11, 2016",Invoice no. 344 - Tesla Motors,500.00,0.00,"44,409.16"
"Sept. 12, 2016",Payment for Invoice no. 317 - TATA Consultancy Services,0.00,"1,500.00","42,909.16"
"Sept. 12, 2016",Invoice no. 345 - BlueDot,250.00,0.00,"43,159.16"
"Sept. 14, 2016",Invoice no. 347 - McKinsey & Company,750.00,0.00,"43,909.16"
"Sept. 14, 2016",Payment for Invoice no. 319 - TribalScale,0.00,400.00,"43,509.16"
"Sept. 14, 2016",Invoice no. 346 - P&G,150.00,0.00,"43,659.16"
"Sept. 15, 2016",Payment for Invoice no. 347 - McKinsey & Company,0.00,750.00,"42,909.16"
"Sept. 17, 2016",Payment for Invoice no. 340 - Google,0.00,400.00,"42,509.16"
"Sept. 19, 2016",Invoice no. 348 - Keilhauer,800.00,0.00,"43,309.16"
"Sept. 20, 2016",Payment for Invoice no. 337 - Nanoleaf,0.00,150.00,"43,159.16"
